1,-146633.99643932845
2,-62942.962945483305
3,-63592.664937751026
4,-61924.934860567824
5,-63244.71948866692
6,-62843.284734531444
7,-63718.205865616066
8,-62868.2337846481
9,-62093.6311347154
10,-61628.57363289552
11,-62881.85439155771
12,-63256.80036431419
13,-62315.06365928428
14,-62850.89127470371
15,-62920.5801794761
16,-62223.51681203179
17,-62652.65633560205
18,-64121.13608693382
19,-63002.07815114018
20,-62352.41694204852
21,-62627.845123402585
22,-62146.09889229844
23,-63469.44000503915
24,-62942.64607055972
25,-62094.352427189595
26,-62591.61036294354
27,-61293.177090412224
28,-62856.29246631082
29,-63483.81414331082
30,-62039.834112913326
31,-61390.84039898092
32,-63526.82651786015
33,-61459.50321633541
34,-63306.732188836686
35,-62903.08695982599
36,-62311.51309067385
37,-62408.948076892164
38,-62792.53390307679
39,-63025.4102788756
40,-61861.75003580486
41,-61851.98903624725
42,-62771.588858082774
43,-61985.38030028553
44,-62370.55977467731
45,-62736.04593755576
46,-62341.472997310004
47,-62505.180328157876
48,-62977.23975653882
49,-61781.56768797773
50,-63181.086141775995
51,-63223.84973624823
52,-62861.47819147154
53,-62229.21531452966
54,-62839.33831013877
55,-62533.611492370284
56,-62063.53438970541
57,-62295.582605672
58,-62609.76628929999
59,-62492.79947453142
60,-62233.886286394554
61,-62737.19816518566
62,-62285.23165381864
63,-62225.88329157581
64,-63236.81423020739
65,-62100.38851800469
66,-62003.24055245092
67,-61664.34260281271
68,-62802.41883218691
69,-63425.85795061285
70,-63546.52060188062
71,-62113.29594374032
72,-63292.14783890974
73,-62578.27231268613
74,-62665.7651929507
75,-62396.60377297751
76,-62584.2646223415
77,-61834.302388992706
78,-62204.63105845371
79,-63092.59740117472
80,-62703.79467420359
81,-61917.518500806225
82,-61363.65488189728
83,-63544.695536335326
84,-61907.48432257131
85,-62515.34662343747
86,-63828.00987140504
87,-62012.06649332687
88,-62765.50676250097
89,-62874.142340155304
90,-62429.29057108312
91,-62044.96955529476
92,-62202.41525130964
93,-61727.74020079052
94,-62623.14075690091
95,-63571.1265670391
96,-62699.21067887297
97,-63677.84769594144
98,-62077.76058734197
99,-62058.53253105079
100,-63218.593544724776
